FID,FID_1,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_tx,region,region_txt,provstate,city,latitude,longitude,specificit,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternativ,alternat_1,multiple,success,suicide,attacktype,attackty_1,attackty_2,attackty_3,attackty_4,attackty_5,targtype1,targtype1_,targsubtyp,targsubt_1,corp1,target1,natlty1,natlty1_tx,targtype2,targtype2_,targsubt_2,targsubt_3,corp2,target2,natlty2,natlty2_tx,targtype3,targtype3_,targsubt_4,targsubt_5,corp3,target3,natlty3,natlty3_tx,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain,guncerta_1,guncerta_2,individual,nperps,nperpcap,claimed,claimmode,claimmode_,claim2,claimmode2,claimmod_1,claim3,claimmode3,claimmod_2,compclaim,weaptype1,weaptype1_,weapsubtyp,weapsubt_1,weaptype2,weaptype2_,weapsubt_2,weapsubt_3,weaptype3,weaptype3_,weapsubt_4,weapsubt_5,weaptype4,weaptype4_,weapsubt_6,weapsubt_7,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propexte_1,propvalue,propcommen,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcoun,ransom,ransomamt,ransomamtu,ransompaid,ransompa_1,ransomnote,hostkidout,hostkido_1,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,FID_2,SOA_CODE,SOA_LABEL,SOA,SOA_CODE_1,All_usual,Religion or religion brought up in: Catholic,Religion or religion brought up in: Protestant and Other Christian (including Christian related),Religion or religion brought up in: Other religions,Religion or religion brought up in: None,Religion or religion brought up in: Catholic (%),Religion or religion brought up in: Protestant and Other Christian (including Christian related) (%),Religion or religion brought up in: Other religions (%),Religion or religion brought up in: None (%)
50,9,2.00008E+11,2000,8,15, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,County Antrim. The Oldpark area of north Belfast,"8/15/2000: Suspected republicans threw a pipe bomb at Johnny Adair in North Belfast, County Antrim, Northern Ireland.  ""Mad Dog"" Adair was a former Protestant loyalist leader who had recently completed a 16 year sentence for directing terrorism.  Adair",1,1,1,0,0, ,0,1,0,3,Bombing/Explosion,0, ,0, ,17,Terrorists/Non-State Militia,93,Terrorist,Protestant loyalist leader,"""Mad Dog"" Johnny Adair, former Protestant leader of loyalist extremists",233,Northern Ireland,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,Civilians in the vicinity of the Adair's car,233,Northern Ireland, , , , , , , , ,Irish Republican Extremists, , , , , ,"Specific motive is unknown, but the victim speculates that it was an attempt to provoke a reaction from the loyalists and create instability",1,0, ,0,-99,0,0,0, ,0,0, , , , ,0,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,0, ,0, , , , , , , , , ,A pipe bomb,0,0,0,1,0,0,1,4,Unknown,0,"A pipe bomb was thrown at a car, shattering the windshield and causing damage",0,0,0,0, , , ,0, , , , , ,0, ,0,The victim claims the attack was perpetrated by republicans while the authorities claim that the pipe bomb indicates that it was an attack by the loyalists,"""N.Ireland loyalist leader survives murder attempt,"" Agence France-Presse, August 15, 2000.","""Update 1 - bomb attack in Belfast raises sectarian tensions,"" Reuters, August 15, 2000.","David McKittrick, ""Loyalist leader Adair survives pipe bomb attack,"" The Independent, August 16, 2000.",UMD Schmid 2012,0,0,1,1, ,271,95GG39S1,Shaftesbury_1,Shaftesbury 1,95GG39S1,2409,1366,560,310,173,56.7,23.25,12.87,7.18
51,13,2.0001E+11,2000,10,13, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,County Antrim. Ballymurphy area of West Belfast,"10/13/2000: Joseph O'Connor, a member of the Real Irish Republican Army (RIRA), was shot and killed by two men in the Ballymurphy area of West Belfast, Northern Ireland.  O'Connor was sitting in a car when two hooded men traveling on foot approached him",1,0,1,1,3,Intra/Inter-group Conflict,0,1,0,2,Armed Assault,0, ,0, ,14,Private Citizens & Property,84,Political Party Member/Rally,Civilian,"Joseph O'Connor, a possible member of the Real Irish Republican Army (RIRA)",233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Irish Republican Army (IRA), , , , , ,Unknown,1,0, ,0,2,0,0,0, ,0,0, , , , ,0,5,Firearms,5,Unknown Gun Type,0, ,0, , , , , , , , , , ,1,0,0,0,0,0,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0,"Republicans, both mainstream and dissident, are uncertain why the attack took place.  Sinn Fein has denied any involvement by the mainstream Irish Republican Army (IRA).","""Man gunned down in republican area of Belfast,"" Agence France-Presse, October 13, 2000.","Martin Cowley, ""Republican shot dead in N. Irish car ambush,"" Reuters, October 13, 2000.","Martin Cowley, ""Republican faction blames IRA for N. Irish murder,"" Reuters, October 13, 2000.",UMD Schmid 2012,0,0,1,1, ,271,95GG39S1,Shaftesbury_1,Shaftesbury 1,95GG39S1,2409,1366,560,310,173,56.7,23.25,12.87,7.18
52,20,2.0011E+11,2001,10,29, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,Belfast (Capital City),"10/29/2001: The Continuity Irish Republican Army (CIRA) was responsible for the takeover and bombing of a bus in Belfast, County Antrim, Northern Ireland. Advanced warning was given via a phone call to a Belfast journalist. Two attackers took over the bu",1,1,1,0,0, ,0,1,0,3,Bombing/Explosion,2,Armed Assault,0, ,19,Transportation,99,Bus (excluding tourists),Northern Ireland Bus System,Belfast city bus,233,Northern Ireland,3,Police,22,"Police Building (headquarters, station, school)",Royal Ulster Constabulary,Belfast Royal Ulster Constabulary (RUC) station,233,Northern Ireland, , , , , , , , ,Continuity Irish Republican Army (CIRA), , , , , ,Unknown,0,0, ,0,2,0,1,3,Call (pre-incident),0,0, , , , ,-9,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,5,Firearms,5,Unknown Gun Type, , , , , , , , , ,0,0,0,0,0,0,1,3,Minor (likely < $1 million),0,The front of the RUC station and the bus suffered some damage.,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"“N Ireland: Continuity IRA Blamed for Bomb on Belfast Bus,” The Irish News, October 30, 2001.", , ,CETIS,0,0,1,1, ,271,95GG39S1,Shaftesbury_1,Shaftesbury 1,95GG39S1,2409,1366,560,310,173,56.7,23.25,12.87,7.18
53,23,2.00206E+11,2002,6,2, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,Belfast (Capital City),06/02/2002: An outbreak of sectarian violence in Belfast between members of the Provisional IRA and the Ulster Volunteer Force in East Belfast led to 3 Protestant men being shot.,0,1,1,1,3,Intra/Inter-group Conflict,0,1,0,2,Armed Assault,7,Facility/Infrastructure Attack,0, ,17,Terrorists/Non-State Militia,0, ,Citizens,Civilians in Ulster,96,Ireland,0, ,0, , , ,0, , , , , , , , , ,Irish Republican Army (IRA), ,Ulster Volunteer Force (UVF), , , ,Unknown,0,0, ,0,0,2,0,0, ,0,0, , , , ,-9,5,Firearms,5,Unknown Gun Type,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type, , , , , , , , , ,0,0,0,3,0,0,-9,4,Unknown,0,Two homes were set on fire,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"“Three Shot and Injured in Belfast,” Associated Press, June 2, 2002.","Sharon O’Neill, “Three Shot in Night of Deadly Clashes,” The Irish News, June 3, 2002.","“NI ‘sleepwalking into abyss’,” CNN, June 3, 2002.",CETIS,0,1,1,1, ,271,95GG39S1,Shaftesbury_1,Shaftesbury 1,95GG39S1,2409,1366,560,310,173,56.7,23.25,12.87,7.18
54,27,2.0021E+11,2002,10,25, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.594897,-5.931926,1,0,"The incident occurred at The Windsor House, an office complex on Bedford Street in the city center.","10/25/2002: A bomb partially exploded outside of the Windsor House, a large office complex in Belfast, County Antrim, Northern Ireland.  Media sources received a warning call from Continuity Irish Republican Army (CIRA) that reported that there was an ex",1,1,1,0,0, ,0,0,0,3,Bombing/Explosion,0, ,0, ,1,Business,0, ,Windsor House,"Windsor house, an office complex in the heart of Belfast",233,Northern Ireland,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,Civilians in the vicinity of the device,233,Northern Ireland, , , , , , , , ,Continuity Irish Republican Army (CIRA), , , , , ,"Specific motive is unknown; however, the incident occurred at the same time that the new Northern Secretary was taking on his appointment.",0,0, ,0,-99,0,1,3,Call (pre-incident),0,0, , , , ,0,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,0, ,0, , , , , , , , , ,A pipe bomb detonator attached to several containers of fuel,0,0,0,0,0,0,1,4,Unknown,0,A pipe-bomb detonator exploded inside a van,0,0,0,0, , , ,0, , , , , ,0, ,0,The van was stolen.,"""Belfast bomb attack thwarted,"" The Times, October 16, 2002","""As new British governor starts working, IRA dissidents try to bomb Belfast,"" Associated Press Newswires, October 25, 2002","""Shoppers terror at rebel IRA bomb,"" The Mirror, October 26, 2002",UMD Schmid 2012,0,0,1,1, ,271,95GG39S1,Shaftesbury_1,Shaftesbury 1,95GG39S1,2409,1366,560,310,173,56.7,23.25,12.87,7.18
55,28,2.00211E+11,2002,11,25, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,Belfast (Capital City),"11/25/2002: A car bomb was defused by the British army bomb disposal team in downtown Belfast, Northern Ireland, the United Kingdom, and arrested two perpetrators, one of whom was shot and injured. The car was parked outside the British vehicle tax offic",1,1,1,0,0, ,0,0,0,3,Bombing/Explosion,0, ,0, ,2,Government (General),21,Government Building/Facility/Office,British Government,British vehicle tax office in downtown Belfast,216,Great Britain,0, ,0, , , ,0, , , , , , , , , ,Irish Republican Army (IRA), , , , , ,Unknown,1,0, ,0,2,2,0,0, ,0,0, , , , ,0,6,Explosives/Bombs/Dynamite,15,Vehicle,0, ,0, , , , , , , , , ,"A car bomb composed of a timer and detonator, two pipe bombs and several canisters of explosive fuel were involved in the incident.",0,0,0,2,0,2,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""Troops Dismantle Belfast Car Bomb after Police Shoot, Arrest Suspected IRA Dissidents,” BC cycle, November 25, 2002.","Maurice Fitzmaurice, ""Bomb Cops Shoot Man; Victim Fights for Life After City Centre Car Chase,” The Mirror, November 25, 2002.","""Catholic Man Arraigned on Charge of Planting Car Bomb in Downtown Belfast,” Associated Press Worldstream, November 27, 2002.",CETIS,0,0,1,1, ,271,95GG39S1,Shaftesbury_1,Shaftesbury 1,95GG39S1,2409,1366,560,310,173,56.7,23.25,12.87,7.18
56,29,2.00302E+11,2003,2,7, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,Belfast (Capital City),"02/07/2003: At 7:00am local time, a taxicab in west Belfast was hijacked, triggering a security alert with the local police.  At 7:20 AM, the taxicab, a red Peugeot 406, was abandoned, and British Army experts carried out a controlled explosion on the ca",1,1,1,0,0, ,0,0,0,4,Hijacking,3,Bombing/Explosion,0, ,20,Unknown,0, ,City of Belfast,Unknown targets in Belfast,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Irish Republican Extremists,Republican Extremists, , , , ,Unknown,1,0, ,0,0,0,0,0, ,0,0, , , , ,0,6,Explosives/Bombs/Dynamite,15,Vehicle,0, ,0, , , , , , , , , ,The device was a pipe bomb attached to a gas cylinder planted in the Peugeot 406 model taxicab.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),0, ,0,0,0,0, , , ,0, , , , , ,0, ,0,"In the past, the Continuity IRA and the Real Irish Republican Army (RIRA) have conducted a series of similar attacks in the Belfast area.","Alan Erwin, ""Republicans Blamed for Failed Bomb Attack,"" Press Association, February 7, 2003.","Suzanne McGonagle, ""Meanwhile, in another part of town…,"" Irish News, February 8, 2003.","""Republicans Blamed for Car-Bomb Bid,"" Belfast News Letter, February 8, 2003.",CETIS,0,0,1,1, ,271,95GG39S1,Shaftesbury_1,Shaftesbury 1,95GG39S1,2409,1366,560,310,173,56.7,23.25,12.87,7.18
57,30,2.00302E+11,2003,2,9, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,Belfast (Capital City),"02/09/2003: During the night local time, a bomb was thrown at the Mountpottinger police station in Short Strand, Belfast.  However, the bomb fell short of the station and landed in an alley behind nearby Madrid Street, and an elderly man picked up the de",1,1,1,0,0, ,0,0,0,3,Bombing/Explosion,0, ,0, ,3,Police,22,"Police Building (headquarters, station, school)",Police Service of Northern Ireland (PSNI),"PSNI Mountpottinger police station, Belfast",233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Real Irish Republican Army (RIRA), , , , , ,Unknown,0,0, ,0,0,0,1,2,Call (post-incident),0,0, , , , ,-9,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,0, ,0, , , , , , , , , ,An unknown type of pipe bomb was used.,0,0,0,0,0,0,-9,4,Unknown,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"Barry McCaffrey, ""Real Irish Republican Army (RIRA) Responsible for Attack on Police,"" The Irish News (Internet Version-WWW), February 11, 2003.","Paul Dykes, ""Pipe bomb attack is linked to feud,"" Belfast Telegraph, February 10, 2003.", ,CETIS,0,0,1,1, ,271,95GG39S1,Shaftesbury_1,Shaftesbury 1,95GG39S1,2409,1366,560,310,173,56.7,23.25,12.87,7.18
58,32,2.00303E+11,2003,3,12, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,Belfast (Capital City),"03/12/2003: Police carried out a controlled explosion of a bomb planted at the Laganside Courthouse by Real Irish Republican Army (RIRA)members in Belfast, Northern Ireland. Three masked men hijacked a van and forced the driver to take the bomb to the co",1,1,1,0,0, ,0,0,0,3,Bombing/Explosion,0, ,0, ,2,Government (General),14,Judge/Attorney/Court,Northern Ireland Courthouse,"Laganside Courthouse in Belfast, Northern Ireland",233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Real Irish Republican Army (RIRA), , , , , ,"SDLP (Social Democratic and Labor Party) assembly member Alban Maginness speculated that the attempted attack was an """"opportunist attack ... to distract attention from the American visits and attract attention to themselves.""""",0,0, ,0,3,0,1,2,Call (post-incident),0,0, , , , ,-9,6,Explosives/Bombs/Dynamite,14,Time Fuse,0, ,0, , , , , , , , , ,The device consisted of three pipe bombs and a timer attached to 75 liters of oil.,0,0,0,0,0,0,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""N Ireland: Dissident Republicans Blamed for Bomb at Belfast Courthouse,” The Guardian, March 14, 2003.","“N Ireland: Real Irish Republican Army (RIRA)Admits Responsibility for Bomb at Belfast Courthouse,” The Irish News, March 14, 2003.", ,CETIS,0,0,1,1, ,271,95GG39S1,Shaftesbury_1,Shaftesbury 1,95GG39S1,2409,1366,560,310,173,56.7,23.25,12.87,7.18
59,33,2.00305E+11,2003,5,5, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,Belfast (Capital City),"05/05/2003: A ""substantial"" bomb was left in a van by two masked men in Belfast, North Ireland, in front of the motor tax office few hours before the annual Belfast marathon. The owner of the van called the police who defused the bomb before it explode",1,1,1,0,0, ,0,0,0,3,Bombing/Explosion,0, ,0, ,2,Government (General),21,Government Building/Facility/Office,Northern Ireland Motor Tax Department,"A motor tax office in Belfast, Northern Ireland",233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Real Irish Republican Army (RIRA), , , , , ,Unknown,1,0, ,0,2,0,0,0, ,0,0, , , , ,0,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,0, ,0, , , , , , , , , , ,0,0,0,0,0,0,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0,Police suspected Real Irish Republican Army (RIRA)because they had left a van packed with explosives outside a court complex known as Laganside in Belfast in March 2003. It is the owner of the van who called the police after he had been forced to park hi,"Ian Graham, ""Republicans blamed for pre-charity race bomb,"" Press Association, May 05, 2003.","Suzanne Breen, ""Real Irish Republican Army (RIRA)blamed for bomb attack in North,"" The Irish Times, May 06, 2003.","""Car bomb defused in Belfast before city marathon, Real Irish Republican Army (RIRA)blamed,"" Agence France Presse, May 05, 2005.",CETIS,0,0,1,1, ,271,95GG39S1,Shaftesbury_1,Shaftesbury 1,95GG39S1,2409,1366,560,310,173,56.7,23.25,12.87,7.18
60,42,2.00703E+11,2007,3,18, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,Belfast (Capital City),03/18/2007: Two men were murdered by suspects connected to Continuity Irish Republican Army (CIRA). CIRA subsequently announced that anyone aiding the Northern Ireland Police Service in these murders would face punishment as an informant.  No claim of re,1,1,1,0,0, ,0,1,0,8,Unarmed Assault,0, ,0, ,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,Two men in Belfast,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Continuity Irish Republican Army (CIRA), , , , , ,Unknown,1,0, ,0,2,0,0,0, ,0,0, , , , ,0,9,Melee,22,"Hands, Feet, Fists",9,Melee,21,Blunt Object, , , , , , , , ,It is possible that a spade was used.,2,0,0,0,0,0,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0,CIRA subsequently announced that anyone aiding the Northern Ireland Police Service in these murders would face punishment as an informant.,"Henry McDonald, “Continuity IRA says: ‘Don’t Help Murder Inquiry,’” The Observer (England), March 18, 2007.","Pat Montrose, “Murdered Pair Were Planning Wave of Terror,” The News of the World (England), March 15, 2007.", ,CETIS,0,0,1,1, ,271,95GG39S1,Shaftesbury_1,Shaftesbury 1,95GG39S1,2409,1366,560,310,173,56.7,23.25,12.87,7.18
61,55,2.00903E+11,2009,3,30, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,Northern Ireland. The vehicle was hijacked on Whiteroad Road. The exact location is unknown.,"03/30/2009: On Monday, around 1600, assailants hijacked a vehicle on Whiterock Road, pulled the driver from his vehicle, doused him and the vehicle in gasoline and set the vehicle on fire, wounding the driver and causing damage to the vehicle. No group c",1,1,1,0,0, ,0,1,0,4,Hijacking,0, ,0, ,14,Private Citizens & Property,73,Vehicles/Transportation, ,The vehicle,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Irish Republican Extremists, , , , , ,The specific motive for the attack is unknown.,0,0, ,0,-99,-99,0,0, ,0,0, , , , ,0,5,Firearms,5,Unknown Gun Type,0, ,0, , , , , , , , , , ,0,0,0,1,0,0,-9,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, , , , ,ISVG,0,0,1,1, ,271,95GG39S1,Shaftesbury_1,Shaftesbury 1,95GG39S1,2409,1366,560,310,173,56.7,23.25,12.87,7.18
62,56,2.00903E+11,2009,3,30, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,Near North Queen Street.,"03/30/2009: On Monday, assailants hijacked five vehicles, stole the wallets of two of the drivers, and abandoned the vehicles near police stations near North Queen Street, Tennant Street, Kings Way, Blacks Road, and near the Stormont Parliamentary buildi",1,1,1,0,0, ,0,1,0,4,Hijacking,0, ,0, ,14,Private Citizens & Property,73,Vehicles/Transportation, ,The vehicles were the targets of the attack.,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Irish Republican Extremists, , , , , ,The specific motive for the attack is unknown.,0,0, ,0,-99,-99,0,0, ,0,0, , , , ,0,5,Firearms,5,Unknown Gun Type,0, ,0, , , , , , , , , , ,0,0,0,0,0,0,-9,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, , , , ,ISVG,0,0,1,1, ,271,95GG39S1,Shaftesbury_1,Shaftesbury 1,95GG39S1,2409,1366,560,310,173,56.7,23.25,12.87,7.18
63,57,2.00903E+11,2009,3,30, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,Northern Ireland. The vehicle was hijacked and abandoned in the middle of the M1 motorway. The exact location is unknown.,"03/30/2009: On Monday, assailants hijacked a vehicle on the M1 motorway and abandoned it in the middle of the motorway to block traffic. No group claimed responsibility, although it was widely believed that republican dissidents were responsible.",1,1,1,0,0, ,0,1,0,4,Hijacking,0, ,0, ,14,Private Citizens & Property,73,Vehicles/Transportation, ,The vehicle,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Irish Republican Extremists, , , , , ,The specific motive for the attack is unknown.,0,0, ,0,-99,-99,0,0, ,0,0, , , , ,0,5,Firearms,5,Unknown Gun Type,0, ,0, , , , , , , , , , ,0,0,0,0,0,0,-9,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, , , , ,ISVG,0,0,1,1, ,271,95GG39S1,Shaftesbury_1,Shaftesbury 1,95GG39S1,2409,1366,560,310,173,56.7,23.25,12.87,7.18
64,60,2.0091E+11,2009,10,16, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,Northern Ireland. The incident happened in east Belfast.,"10/16/2009: On Friday morning at about 0730, in Belfast, Northern Ireland, an improvised explosive device exploded underneath the passenger seat of a vehicle belonging to a police officer's girlfriend, wounding one civilian and damaging the vehicle. Ogla",1,1,1,0,0, ,0,1,0,3,Bombing/Explosion,0, ,0, ,3,Police,25,Police Security Forces/Officers, ,The target was a woman who works for Police Service of Northern Ireland (PSNI).,96,Ireland,0, ,0, , , ,0, , , , , , , , , ,Oglaigh na hEireann, , , , , ,The specific motive for the attack is unknown.,0,0, ,0,-99,0,0,0, ,0,0, , , , ,0,6,Explosives/Bombs/Dynamite,15,Vehicle,0, ,0, , , , , , , , , ,An improvised explosive device was used in the attack.,0,0,0,1,0,0,1,3,Minor (likely < $1 million),0,"The attack damaged the vehicle, but caused an unknown amount of property damage.",0,0,0,0, , , ,0, , , , , ,0, ,0, ,"The Guardian, “Dissident Republicans Bomb Belfast Army Base,” http://www.guardian.co.uk/uk/2009/oct/22/northern-ireland-army-base-attack (October 22, 2009).","National Counterterrorism Center, ""One Civilian Wounded by IED Attack by ONH in Belfast, Northern Ireland, United Kingdom,"" Worldwide Incidents Tracking System, April 16, 2010.","Belfast Telegraph, “Bomb Allegedly Was the Work of Dissidents,” LexisNexis Academic, Belfast Telegraph, October 22, 2009.",ISVG,0,1,1,1, ,271,95GG39S1,Shaftesbury_1,Shaftesbury 1,95GG39S1,2409,1366,560,310,173,56.7,23.25,12.87,7.18
65,61,2.01002E+11,2010,2,3, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0, ,"02/03/2010: On Wednesday morning. in Belfast, Northern Ireland, assailants threw a grenade at a police station, damaging the police station but causing no casualties. No group claimed responsibility, but it was widely believed that dissident republicans",1,1,1,0,0, ,0,1,0,3,Bombing/Explosion,0, ,0, ,3,Police,22,"Police Building (headquarters, station, school)",Belfast Law Enforcement,A police station was targeted in the attack.,96,Ireland,0, ,0, , , ,0, , , , , , , , , ,Irish Republican Extremists, , , , , ,The specific motive for the attack is unknown.,1,0, ,0,-99,0,0,0, ,0,0, , , , ,0,6,Explosives/Bombs/Dynamite,7,Grenade,0, ,0, , , , , , , , , ,One grenade was used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),0,The attack caused minor damage to a police station.,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"National Counterterrorism Center, ""One Police Station Damaged in Grenade Attack by Suspected Dissident Republicans in Belfast, Northern Ireland, United Kingdom,"" Worldwide Incidents Tracking System, July 09, 2010.","Associated Press Worldstream, ""Grenade Damages Belfast Police Station; None Hurt,"" LexisNexis Academic, Associated Press Worldstream, February 03, 2010.","Belfast Telegraph, ""Army Probe Blast at City Police Station,"" LexisNexis Academic, Belfast Telegraph, February 03, 2010.",ISVG,0,1,1,1, ,271,95GG39S1,Shaftesbury_1,Shaftesbury 1,95GG39S1,2409,1366,560,310,173,56.7,23.25,12.87,7.18
66,75,2.01101E+11,2011,1,23, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597269,-5.930109,1,0,County Antrim/County Down. The attack took place in Belfast.,"01/23/2011: On Sunday, in Belfast, Northern Ireland, two police officers responded to a call at a local video rental store. Just outside of the store members of the Oglaigh na hEireann had planted a remote-controlled improvised explosive device (RCIED),",1,1,1,0,0, ,0,0,0,3,Bombing/Explosion,0, ,0, ,3,Police,25,Police Security Forces/Officers,Belfast Law Enforcement,Belfast law enforcement personnel,233,Northern Ireland,1,Business,7,Retail/Grocery/Bakery, ,A local video rental store was targeted.,233,Northern Ireland, , , , , , , , ,Real Irish Republican Army (RIRA), , , , , ,The specific motive for the attack is unknown.,0,0, ,0,-99,0,1,2,Call (post-incident),0,0, , , , ,0,6,Explosives/Bombs/Dynamite,12,Remote Trigger,0, ,0, , , , , , , , , ,A remote-controlled improvised explosive device and a secondary tripwire attached to an Irish army grenade were used in the attack.,0,0,0,0,0,0,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"Belfast Telegraph, ""Belfast Daily Told Details of N Ireland Dissident Group's 'Double-Ambush' Plan,"" World News Connection, Belfast Telegraph, January 31, 2011.","Irish Times, ""Bomb Left on Bike in Belfast,"" Irish Times, February 8, 2011, http://www.irishtimes.com/newspaper/breaking/2011/0208/breaking34.html.","BBC Worldwide Monitoring, ""Police Confirm Second Bomb Found in North Belfast Alert,"" BBC Worldwide Monitoring, January 27, 2011, http://www.bbc.co.uk/news/uk-northern-ireland-12302450.",ISVG,0,0,1,1, ,271,95GG39S1,Shaftesbury_1,Shaftesbury 1,95GG39S1,2409,1366,560,310,173,56.7,23.25,12.87,7.18
67,117,2.0131E+11,2013,10,8, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.597285,-5.93012,1,0, ,"10/08/2013: Assailants killedKevin Kearney in Alexandra park in Belfast city, Belfast district, Northern Ireland, United Kingdom. The New Irish Republican Army claimed responsibility for the incident.",1,1,1,0,0, ,0,1,0,2,Armed Assault,0, ,0, ,14,Private Citizens & Property,69,Religion Identified,Not Applicable,Catholic Civilian: Kevin Kearney,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,The New Irish Republican Army, , , , , ,"In a statement claiming responsibility, the New Irish Republican Army stated that the victim was killed in retribution for the earlier murder of prison officer David Black.",0,0, ,0,-99,0,1,4,E-mail,0,0, , , , ,0,5,Firearms,5,Unknown Gun Type,0, ,0, , , , , , , , , , ,1,0,0,0,0,0,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""Mortar Bomb Attack Foiled at Londonderry Police Station,"" International Business Times Australia, October 11, 2013.","""'New IRA' claims it killed Belfast father of four,"" guardian.co.uk, October 10, 2013.","""New IRA blamed as 2 men killed in separate Northern Ireland attacks ahead of investment show,"" Big News Network, October 10, 2013.",START Primary Collection,1,1,1,1, ,271,95GG39S1,Shaftesbury_1,Shaftesbury 1,95GG39S1,2409,1366,560,310,173,56.7,23.25,12.87,7.18
